desertionNo,kindNm,colorCd,specialMark,sexCd,happenPlace,orgNm,processState,popfile1
411300202600374,기타,기타(흰/회/갈),온순. 얌전. 약간 겁 있음. 치석. 털 엉킴. ,F,"서울 종로구 수표로 96 (관수동, 국일관드림펠리스) 인근",서울특별시 종로구,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/05/202605201505322.jpg
429362202600301,한국 고양이,흰색/검은색 얼룩무늬,26-7138 생후1주,M,북구 두암동 877-5,광주광역시 북구,종료(자연사),http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/04/202605201305245.jpg
448541202600809,한국 고양이,검정색,엄마가 돌보지 않음,M,대합면 십이리,경상남도 창녕군,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/05/202605192005449.png
448537202601130,한국 고양이,레몬색&흰색,설사증세 수유냥,Q,옥포대첩로 6길36,경상남도 거제시,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/05/202605191405474.jpg
448534202600512,한국 고양이,흰색/검은색 얼룩무늬,실물은 더 작고 귀여움,M,동강아뜨리에 아파트 인근,경상남도 사천시,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/04/20260519150598.jpg
448534202600511,한국 고양이,검은색흰색황토색조합,초롱초롱 맑은눈,F,남양 송포 인근,경상남도 사천시,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/04/202605191505805.jpg
447521202600240,한국 고양이,평행·전체·부분줄무늬, 발견 당시 골절,F,경북 성주군 성주읍 예산2길 20-7 인근 주택가 주변,경상북도 성주군,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/05/202605191305602.jpg
447506202600186,한국 고양이,흰색/검은색 얼룩무늬,어리고 순함,M,삼락동 북부지구대 인근,경상북도 김천시,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/04/202605191705793.jpg
447506202600185,한국 고양이,흰색/검은색 얼룩무늬,어리고 순함,F,부곡동 화성아파트,경상북도 김천시,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/04/202605191705910.jpg
447506202600184,한국 고양이,흰색/검은색 얼룩무늬,어리고 순함,F,부곡동 화성아파트,경상북도 김천시,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/04/202605191705689.jpg
447506202600183,한국 고양이,레몬색&흰색,어리고 순함,M,부곡동 화성아파트,경상북도 김천시,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/04/202605191705577.jpg
447506202600182,한국 고양이,평행·전체·부분줄무늬,어리고 순함,M,부곡동 화성아파트,경상북도 김천시,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/04/202605191705189.jpg
447506202600181,한국 고양이,레몬색&흰색,어리고 순함,M,부곡동 화성아파트,경상북도 김천시,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/04/202605191705454.jpg
447505202600480,한국 고양이,레몬색&흰색,입이 작은 치즈 고양이 ! 삐약삐약 거리는 귀염둥이에요 ~,M,천북면 천북로 근방,경상북도 경주시,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/05/20260519160539.jpg
447505202600479,한국 고양이,평행·전체·부분줄무늬,이마에 M자 무늬를 가진 고양이 ! 사람을 좋아하는 순둥이 고양이!,Q,천북면 천북로 근방,경상북도 경주시,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/05/202605191605444.jpg
447505202600478,한국 고양이,평행·전체·부분줄무늬,앵그리버드 눈썹을 가진 아기 고양이 ! 나 화난거아니야 ~,Q,천북면 천북로 근방,경상북도 경주시,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/05/202605191605843.jpg
447505202600477,한국 고양이,검은색흰색황토색조합,통실통실 주둥이...뽀뽀를 100번 해주고 싶다.... 예쁜 삼색 공주 ~,F,천북면 천북로 근방,경상북도 경주시,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/05/202605191605426.jpg
447505202600476,한국 고양이,흰색/검은색 얼룩무늬,미간이 넓은 귀요미 고양이 ! 핑크색 코와 입이 너무 사랑스럽다 !,Q,천북면 천북로 근방,경상북도 경주시,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/05/202605191605312.jpg
447505202600475,한국 고양이,검은색흰색황토색조합,무늬가 특이한 아기 고양이 ! 팔다리가 길어서 겅중겅중 걸어다닌다 !!,F,안강읍 화천 중앙길 주변,경상북도 경주시,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/05/202605191505678.jpg
447505202600474,한국 고양이,레몬색&흰색,자신감 넘치는 치즈 고양이 ! 타이거가 되기 위해 열심히 수련 중이다 ..,Q,천북면 천북로 근방,경상북도 경주시,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/05/202605191505340[1].jpg
447505202600473,한국 고양이,평행·전체·부분줄무늬,너무 예쁜 고등어 고양이 ! 초롱초롱한 눈망울이 사람의 마음을 홀린다..,Q,천북면 천북로 근방,경상북도 경주시,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/05/202605191505305.jpg
447505202600472,한국 고양이,검은색흰색황토색조합,뾰족뾰족하게 생긴 삼색 고양이 ! 카리스마 있는 얼굴을 가지고 있따 !,F,천북면 천북로 근방,경상북도 경주시,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/05/202605191505104.jpg
