desertionNo,kindNm,colorCd,specialMark,sexCd,happenPlace,orgNm,processState,popfile1
448567202600729,믹스견,옅은 황색,"119 포획, 마취총 맞고 입소, 헤진 목줄 착용, 아직 마취 덜 풀려서 성향 파악 못함",F,의창구 대산면 우암리 101-1,경상남도 창원시 의창성산구,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/05/202605251305634.jpg
448548202600502,믹스견,갈색,마을배회 ,M,합천 소방서,경상남도 합천군,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/05/202605251205380.jpg
448548202600501,믹스견,갈색,마을배회 ,M,합천소방서,경상남도 합천군,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/05/202605251205629.jpg
448540202600600,믹스견,흰색,"전염병감염위험, 케어필요",F,가야읍 함안소방서 119구조대,경상남도 함안군,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/05/202605251505670.jpg
448540202600599,믹스견,흰색,"전염병감염위험, 케어필요",M,가야읍 함안소방서 119구조대,경상남도 함안군,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/05/202605251505875.jpg
448540202600598,믹스견,흰색,"전염병감염위험, 케어필요",F,가야읍 함안소방서 119구조대,경상남도 함안군,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/05/202605251505802.jpg
448540202600597,믹스견,갈색&검정&흰색,약간 소심한편,F,칠원읍 무기로 93,경상남도 함안군,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/05/202605251505504.jpg
448540202600596,믹스견,갈색&흰색,온순함,M,군북면 오곡리 산 69,경상남도 함안군,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/05/20260525150500.jpg
448540202600595,말티즈,흰색,전반적인 신체능력 노령화상태,M,가야읍 산서리 산 94-2,경상남도 함안군,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/05/202605251505705.jpg
448540202600594,진도견,흰색,"전염병 감염위험, 케어필요, 부분피부질환",M,군북면 함안독립운동기념관,경상남도 함안군,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/05/202605251505649.jpg
448540202600593,진도견,흰색,"전염병 감염위험 , 케어필요, 부분피부질환",F,군북면 함안독립운동기념관,경상남도 함안군,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/05/20260525150577.jpg
448540202600592,믹스견,흰색,"전염병 감염위험 , 케어필요",F,법수면 백산리 농노,경상남도 함안군,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/05/202605251505474.jpg
448540202600591,진도견,흰색,예민할수있다고 하여 지켜봐야함,M,법수면 사정안길 55,경상남도 함안군,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/05/202605251505381.jpg
448540202600590,믹스견,갈색&검정,"애교많고 활동적임, 입양전제임시보호중",F,가야읍 산서6길 187-63,경상남도 함안군,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/05/202605251505146[1].jpg
448540202600589,믹스견,갈색&검정,"전신피부질환, 온순함",M,함안휴게소 순천방향,경상남도 함안군,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/05/202605251505110.jpg
448540202600588,믹스견,검정&흰색,온순함,M,칠북면 온천로 14,경상남도 함안군,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/05/202605251505261.jpg
448540202600587,믹스견,검정색,"뒷다리 한쪽이 절단된상태 , 빨간색철물점목걸이착용",M,군북면 오곡리 산 69,경상남도 함안군,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/05/202605251405688.jpg
448540202600586,믹스견,갈색&흰색,온순함,F,법수면 황사농공단지,경상남도 함안군,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/05/20260525140537.jpg
448540202600585,믹스견,갈색&흰색,온순하고 예쁘게 생김,F,가야읍 시외버스터미널,경상남도 함안군,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/05/202605251405208.jpg
448540202600584,진도견,흰색,"전염병 감염위험 , 케어필요",M,칠원읍 무기리 982-1,경상남도 함안군,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/05/202605251405793.jpg
448540202600583,믹스견,검정&흰색,"전염병 감염위험 , 케어필요",M,군북면 오곡리 산 61-5,경상남도 함안군,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/05/202605251405300.jpg
448540202600582,믹스견,검정&흰색,"전염병 감염위험 , 케어필요",M,군북면 오곡리 산 61-5,경상남도 함안군,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/05/202605251405924.jpg
448540202600581,믹스견,흰색,"전염병 감염위험 , 케어필요",M,군북면 오곡리 산 61-5,경상남도 함안군,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/05/20260525140574.jpg
448540202600580,믹스견,검정&흰색,"하늘색 목걸이착용 , 온순한편",F,칠원읍 무기리산 188-1,경상남도 함안군,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/05/20260525140591.jpg
448540202600579,진도견,붉고 엷은 황갈색,"전염병 감염위험 , 케어필요",F,가야읍 새터길 136,경상남도 함안군,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/05/20260525140524.jpg
448540202600578,믹스견,갈색&흰색,"전염병 감염위험 , 케어필요",M,가야읍 새터길 136,경상남도 함안군,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/05/20260525140575.jpg
448540202600577,믹스견,갈색,"전염병 감염위험 , 케어필요",F,가야읍 새터길 136,경상남도 함안군,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/05/202605251405475.jpg
448540202600576,믹스견,검정색,"전염병 감염위험 , 케어필요",M,산인면 모곡리 산 47-3,경상남도 함안군,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/05/202605251405676.jpg
448540202600575,믹스견,검정색,"전염병 감염위험 , 케어필요",F,산인면 모곡리 산 47-3,경상남도 함안군,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/05/202605251405577[1].jpg
448540202600574,진도견,흰색,"전염병 감염위험 , 케어필요",M,칠북면 이령2길 133,경상남도 함안군,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/05/202605251405533.jpg
448540202600573,믹스견,흰색,"진드기 감염, 약간 겁이 있으나 시간을 주면 다가올듯 합니다.",F,칠북면 이령2길 133,경상남도 함안군,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/05/202605251305233.jpg
448540202600572,진도견,흰색,약간 소심한편이나 호전가능성보임,F,대산면 송산로 621,경상남도 함안군,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/05/202605251305220.jpg
448540202600571,믹스견,갈색&흰색,"전염병 감염위험 , 케어필요",M,칠원읍 쇠만이길 19,경상남도 함안군,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/05/202605251305339.jpg
448540202600570,믹스견,갈색&흰색,"전염병 감염위험 , 케어필요",F,칠원읍 쇠만이길 19,경상남도 함안군,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/05/202605251305581.jpg
448540202600569,믹스견,갈색&검정,"전염병 감염위험 , 케어필요",M,칠원읍 쇠만이길 19,경상남도 함안군,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/05/202605251305506.jpg
448540202600568,믹스견,갈색&검정,"전염병 감염위험 , 케어필요",F,칠원읍 쇠만이길 19,경상남도 함안군,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/05/202605251305880.jpg
448540202600567,믹스견,갈색&검정&흰색,"전염병 감염위험 , 케어필요",M,칠원읍 쇠만이길 19,경상남도 함안군,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/05/202605251305455.jpg
448540202600566,믹스견,갈색&검정&흰색,"전염병 감염위험 , 케어필요",F,칠원읍 쇠만이길 19,경상남도 함안군,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/05/202605251305628.jpg
448540202600565,믹스견,갈색&검정&흰색,"전염병 감염위험 , 케어필요",F,칠원읍 쇠만이길 19,경상남도 함안군,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/05/202605251305529.jpg
448536202600425,믹스견,호반색(호랑이무늬),"멋진 호피, 예민한 모습을 보임",M,부북면,경상남도 밀양시,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/05/202605250805405.jpeg
447508202600977,믹스견,갈색&흰색,얌전함 / 구충제 투여,M,검성지생태공원 ,경상북도 구미시,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/05/202605251305369.jpg
447505202600522,믹스견,검정색,목에 상처가 있어서 치료 필요함.,F,산대리 부근,경상북도 경주시,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/05/202605251405656.jpg
447505202600521,믹스견,갈색&검정,소심해서 친화노력이 필요함.,F,와산2길 부근,경상북도 경주시,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/05/202605251405372.jpg
447505202600520,믹스견,검정&흰색,똘망똘망한 눈망울의 바둑이.,F,서악동 부근,경상북도 경주시,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/05/202605251405595[1].jpg
447505202600519,믹스견,검정&흰색,귀여운 바둑이.,M,서악동 부근,경상북도 경주시,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/05/202605251405957.jpg
447505202600518,믹스견,검정&흰색,성격이 까칠해서 만지기 어려움.,F,서악동 부근,경상북도 경주시,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/05/202605251405888.jpg
447502202600312,푸들,검정색,"6개월 추정,겁 많고 소심함, 낯선곳에 와서 그런지 아직 쭈글 모드,적응하면 활발해질듯함",M,경상북도 포항시 남구 구룡포읍 구룡포리 954-34,경상북도 포항시,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/05/202605251405865.jpg
447502202600311,믹스견,흰색,"1세 미만 추정, 애교 짱 많음 처음 보는 사람한테도 친절?하고 꼬리 흔들어주심",M,경상북도 포항시 북구 장미길 49 ,경상북도 포항시,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/05/202605251405252.jpg
447502202600310,믹스견,흰색,"소심하고 겁이 많음,소심해서 구석에 찌그러져 있지만 온순한 편인듯함!",F,포항시 북구 죽장면 죽장로 1669번길62,경상북도 포항시,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/05/202605251405956.jpg
445470202600682,포메라니안,기타(흰색갈색),"기아, 내외부 기생충",F,인월면 월평교,전북특별자치도 남원시,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/05/202605251505968.jpg
445470202600676,믹스견,기타(믹스),순한 성격으로 사람을 잘 따르는 아이입니다.,F,대산면,전북특별자치도 남원시,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/05/202605251405799[1].jpg
445467202601120,믹스견,갈색&흰색,4개월추정 경계심있음,F,북일길 115,전북특별자치도 군산시,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/05/20260525110573.jpg
445464202601824,말티즈,흰색,전체미용됨,F,감수리46,전북특별자치도 전주시,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/05/20260525140567.jpg
445464202601823,말티즈,흰색,전체미용됨,F,감수리46,전북특별자치도 전주시,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/05/202605251405413.jpg
444462202600434,믹스견,검정색,순하고 얌전함,F,고남면 발화지길 243-7,충청남도 태안군,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/05/202605251205635.jpg
444462202600433,믹스견,갈색,"예민하고 경계심이 많음,다리교상",F,안면읍 유황마지길 173-208,충청남도 태안군,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/05/202605251105128.jpg
444462202600431,믹스견,흰색&황갈색,순하고 잘따름,M,남면 몽대로 33-35,충청남도 태안군,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/05/202605251005535.jpg
444449202601175,포메라니안,흰색,칩 있음,M,동남구 위례성로 1465 근처,충청남도 천안시,종료(반환),http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/05/202605251105211.jpg
441407202600559,시베리안라이카,검정&황갈색&흰색,"녹색 목띠착용, 온순함",M,율면 산양리,경기도 이천시,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/05/202605251205820.jpg
441400202600204,믹스견,갈색,전신피부병.식욕부진.,M,성호대로141,경기도 오산시,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/05/202605251305742[1].jpg
441400202600203,믹스견,갈색&흰색,목줄.목걸이없음,F,성호대로141,경기도 오산시,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/05/202605251005481.jpg
441399202600921,믹스견,갈색,착하고 사람 손길을 잘 따름,M,오남119안전센터,경기도 남양주시,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/05/202605251505170.png
441394202601071,믹스견,흰색,없음,M,화전동840 부근,경기도 고양시,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/05/202605251005421.jpg
441390202600201,요크셔 테리어,기타(갈흑),"순함,눈물자국심함",M,광북119안전센터에서 인수,경기도 광명시,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/05/202605251505399.jpg
429362202600312,믹스견,흰색,26-0298  빵돌,M,북구 건국동,광주광역시 북구,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/05/20260525100512.jpg
447512202600478,믹스견,흰색,108번이 낳은 새끼,F,보호소,경상북도 문경시,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/05/202605251005166.jpg
447512202600477,믹스견,흰색,108번이 낳은 새끼,F,보호소,경상북도 문경시,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/05/202605251005366[1].jpg
447512202600476,믹스견,흰색,108번이 낳은 새끼,M,보호소,경상북도 문경시,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/05/20260525100591.jpg
447512202600475,믹스견,검정&흰색,108번이 낳은 새끼,M,보호소,경상북도 문경시,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/05/202605251005362.jpg
448567202600728,믹스견,검정&흰색,"내장칩 있음, 보호자와 연락중",F,마산회원구 내서읍행정복지센터 공영주차장 ,경상남도 창원시 의창성산구,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/05/202605250705774.jpg
441553202601816,믹스견,크림색,겁이 있으나 사람에대한 호기심이 잇음/ 작고 접힌 귀,M,우정읍 구슬1길인근,경기도 화성시,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/05/202605251105446.jpg
427345202600268,포메라니안,갈색,.,M,산격동 1425,대구광역시 북구,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/05/202605251105423.jpg
448543202600111,믹스견,흰색&황갈색,이동면 유기견 새끼,F,이동면 초양리,경상남도 남해군,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/05/20260524160548.jpg
448537202601170,믹스견,갈색&검정,길가에서 발견. 빨간목줄착용.,M,문동동 189-2,경상남도 거제시,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/05/20260524150510.jpg
448536202600424,믹스견,갈색&검정&흰색,"공고번호 285, 293의 동배, 매우 순함",F,상남면,경상남도 밀양시,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/05/202605241105107.jpg
448536202600423,믹스견,갈색&검정&흰색,"공고번호 285의 동배, 매우 순함",M,상남면,경상남도 밀양시,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/05/202605241005707.jpg
448536202600422,믹스견,갈색&흰색,덩치에 비해 작은 수제비 귀가 매력적,M,용평동,경상남도 밀양시,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/05/202605241005243.jpg
448536202600421,믹스견,갈색&검정&흰색,"아직 아기, 앙증맞은 바둑이",M,산동,경상남도 밀양시,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/05/202605241005678.jpg
448536202600420,믹스견,흰색,"듬직함, 사람에게는 호의적이나 대견 안좋음",M,가곡동,경상남도 밀양시,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/05/20260524100551.jpg
448536202600419,믹스견,갈색&흰색,멋진 황색의 진도믹스,F,부북면,경상남도 밀양시,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/05/202605241005130.jpg
448536202600418,믹스견,갈색&흰색,복슬복슬 발바리,M,청도면,경상남도 밀양시,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/05/202605241005341.jpg
448536202600417,믹스견,갈색&검정&흰색,"두마리 꼬물이 자매, 이제 막 이가 자라는 중",F,부북면,경상남도 밀양시,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/05/202605241005399.jpg
448536202600416,믹스견,검정색,"두마리 꼬물이 자매, 이제 막 이가 자라는 중",F,부북면,경상남도 밀양시,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/05/202605241005431.jpg
448531202600901,믹스견,흰색&황갈색,겁많고 경계심있음 ,F,진주시 기술센터,경상남도 진주시,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/05/202605241205899.jpg
446482202600186,말티즈,흰색,진료예정,F,아랫장,전라남도 순천시,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/05/202605241205952.jpg
446480202600615,말티즈,기타(갈색),"체구가 작고 사회성좋음, 심야에 구조됨",M,동부광장,전라남도 목포시,종료(반환),http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/05/202605241705196.jpg
445467202601106,믹스견,흰색,보호소앞유기추정,M,대야면보덕안정길108-20,전북특별자치도 군산시,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/05/202605241505101.jpg
445467202601095,믹스견,흰색&황갈색,2개월추정 순함,M,군산시 산단남북로 189번지,전북특별자치도 군산시,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/05/202605241105245.jpg
445464202601815,믹스견,갈색&검정&흰색,순하고 귀여움,F,전주박물관 ,전북특별자치도 전주시,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/05/202605241905799[1].jpg
444568202600278,골든 리트리버,갈색,순하고 사람 좋아함,M,당진시 송악읍 한진리 95-14,충청남도 당진시,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/05/20260524110597.jpg
444449202601174,믹스견,갈색&검정&흰색,"개선충 심함, 순함, 4개월 추정",F,서북구 직산읍 군수1길 253-14 근처 ,충청남도 천안시,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/05/202605241705749.jpg
444449202601172,믹스견,검정&흰색,"빨간색 목줄 착용, 순함, 겁 많음",F,동남구 목천읍 신계리5길 32,충청남도 천안시,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/05/202605240905664.jpg
444449202601171,믹스견,갈색&흰색,"하네스 착용, 경계 심함",Q,서북구 성정동 축구센터 ,충청남도 천안시,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/05/202605240905302.jpg
443571202601189,진도견,흰색,"초록+빨강 목줄 착용, 활발하고 순하고 착함",M,산성로 1107,충청북도 청주시,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/05/202605241605157.jpg
442434202600263,진도견,흰색,순함,F,간성 터미널 앞,강원특별자치도 고성군,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/05/202605241705694.jpg
441417202600591,믹스견,검정색,"파란,초록 얼룩무늬 목줄을 하고 있고,사람을 많이 무서워함",F,경기도 양평군 양평읍 원덕흑천길161번길 41-66 주변 수로,경기도 양평군,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/05/202605241405586.jpg
441417202600590,시바,황갈색,동물등록 되어있으며 견주에게 반환 예정. 호기심이 많고 온순한 편이나 경계심이 있고 낯을 가림.,F,경기도 양평군 강상면 강남로 837-1 ,경기도 양평군,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/05/202605241005521.png
441399202600907,믹스견,흰색,"목쪽 한변정도이 수술 자국이 있음, 사람 손길을 잘 따름",M,와부읍 119,경기도 남양주시,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/05/202605241705409.png
441378202600662,믹스견,흰색,"폼피츠추정, 중성화 안되어있음",M,사기막골 45번길 42-4,경기도 성남시,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/05/202605241305773.jpg
429361202600159,믹스견,갈색&흰색,"26-0297, 칩없음, 순함, 빨간색목줄과 아보카도 목줄 2개 착용",M,남구 송하동,광주광역시 남구,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/05/202605241405878.jpg
411321202600187,믹스견,노란색,"겁 많고, 얌전, 순함. 표정이 억울하게 생김.",F,서초구 전원말8길 7-6,서울특별시 서초구,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/05/202605241305548.jpg
427342202600313,믹스견,흰색&황갈색,백내장,F,신천 119,대구광역시 동구,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/05/202605251005412.jpg
445467202601094,믹스견,흰색&갈색&탄,2개월추정 순함,M,군산시 산단남북로 189번지,전북특별자치도 군산시,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/05/202605241105293.jpg
445467202601093,믹스견,갈색,2개월추정 순함,M,군산시 산단남북로 189번지,전북특별자치도 군산시,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/05/202605241105316.jpg
445467202601092,믹스견,흰색,2개월추정 순함,F,군산시 산단남북로 189번지,전북특별자치도 군산시,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/05/20260524110575.jpg
445467202601091,미디엄 푸들,어두운회색,10살이상 추정 칩o 보호자 연락중,M,군산대 신전?볶이,전북특별자치도 군산시,종료(반환),http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/05/202605241105474.jpg
445467202601090,말티즈,흰색,3살추정 순함 칩x,F,군산 24제일병원,전북특별자치도 군산시,종료(반환),http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/05/202605241105292.jpg
442419202600370,치와와,갈색&흰색,뒷다리 쓸개골,M,태장윤헤어샵앞,강원특별자치도 원주시,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/05/202605241605949.jpg
430366202600261,믹스견,검정색,목태,M,탄방동72-1 인근,대전광역시 서구,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/05/202605241505631.png
428351202600314,포메라니안,흰색,털엉킴이 심하고 피부가 안 좋은 편임,M,주안로35번길12 삼원아파트 앞,인천광역시 미추홀구,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/05/202605241505807.jpg
428351202600313,믹스견,흰색,정리하기 어려울 정도로 털이 심하게 엉켜있고 피부병이 있음 ,M,주안동197-11 정다운 가 앞,인천광역시 미추홀구,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/05/202605241505454.jpg
448567202600727,푸들,갈색,"내장칩 있음, 분실 신고도 접수된 아이, 보호자와 연락됨",F,마산회원구 합성동 87-29,경상남도 창원시 의창성산구,종료(반환),http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/05/202605231405916.jpg
448547202600407,믹스견,갈색&검정,경계,M,경상남도 거창군 북상면 병곡길 447-11,경상남도 거창군,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/05/202605231405633.jpg
448547202600406,믹스견,크림색,경계,M,경상남도 거창군 북상면 병곡길 447-11,경상남도 거창군,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/05/202605231405755.jpg
448541202600817,푸들,검정색, 최근 유실,M,영산 파출소,경상남도 창녕군,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/05/202605232105497.jpg
448541202600816,믹스견,흰색, 최근 유실,M,성산면 안심마을,경상남도 창녕군,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/05/202605232105692.jpg
447521202600247,말티즈,흰색,"엄청예쁘고, ?발함",F,선남면 선노로 540-9,경상북도 성주군,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/05/20260523110586.jpg
447502202600306,믹스견,갈색&흰색,"소심하지만 사람손을 피하지는 않음!,낯선 환경이라 아직 쫄아있는듯 적응되면 좋아질듯함!",F,포항시 북구 죽장면 죽장로 1669번길62,경상북도 포항시,보호중,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/05/202605231505951.jpg
